Achillea millefolium, common yarrow
Hymenoxys grandiflora, old-man-of-the-mountain
Hymenoxys richardsonii, Richardson's bitterweed
Hymenoxys torreyana, Torrey bitterweed
Hypochaeris radicata, hairy cat's-ear
Ionactis alpina, lava aster
Ionactis stenomeres, Rocky Mountain aster
Iva axillaris, small-flowered marsh-elder
Iva xanthifolia, coarse sumpweed
Lactuca biennis, tall blue lettuce
Lactuca canadensis, Canada lettuce
Lactuca ludoviciana, western lettuce
Lactuca serriola, prickly lettuce
Lactuca tatarica, tartarian lettuce
Lagophylla ramosissima, slender hareleaf
Lapsana communis, common nipplewort
Leucanthemum vulgare, oxeye daisy
Liatris ligulistylis, Rocky Mountain blazing star
Liatris punctata, dotted blazing star
Lorandersonia linifolia, spearleaf rabbitbrush
Lygodesmia juncea, rush skeleton-plant
Machaeranthera canescens, hoary tansy-aster
Machaeranthera grindelioides, rayless tansy-aster
Machaeranthera pinnatifida, spiny goldenaster
Machaeranthera tanacetifolia, tanseyleaf tansy-aster
Madia exigua, little tarweed
Madia glomerata, mountain tarweed
Madia gracilis, grassy tarweed
Madia minima, small-headed tarweed
Malacothrix torreyi, desert dandelion
Matricaria discoidea, pineapple-weed chamomile
Matricaria maritima, false chamomile
Microseris nutans, nodding microseris
Nothocalais cuspidata, prairie false-dandelion
Nothocalais nigrescens, black hairy false-dandelion
Nothocalais troximoides, sagebrush false dandelion
Onopordum acanthium, scotch thistle
Oreostemma alpigenum, anderson's aster
Petasites frigidus, arctic sweet coltsfoot
Petasites frigidus var. frigidus, arctic sweet coltsfoot
Petasites frigidus var. sagittatus, arrowleaf sweet coltsfoot
Picradeniopsis oppositifolia, oppositeleaf false bahia
Platyschkuhria integrifolia, basin daisy
Pleiacanthus spinosus, spiny skeletonweed
Prenanthes racemosa, glaucous rattlesnake-root
Prenanthes sagittata, arrow-leaf rattlesnake-root
Psilocarphus brevissimus, dwarf woolly-heads
Psilocarphus elatior, tall woolly-heads
Pyrrocoma carthamoides, large-flower goldenweed
Pyrrocoma carthamoides var. carthamoides, large-flower goldenweed
Pyrrocoma carthamoides var. subsquarrosa, beartooth large-flowered goldenweed
Pyrrocoma integrifolia, entire-leaf goldenweed
Pyrrocoma lanceolata, lance-leaved goldenweed
Pyrrocoma uniflora, plantain goldenweed
Ratibida columnifera, prairie coneflower
Rudbeckia hirta, blackeyed susan
Rudbeckia laciniata, cut-leaved coneflower
Rudbeckia occidentalis, western coneflower
Saussurea americana, American saw-wort
Saussurea densa, dwarf saw-wort
Saussurea weberi, Weber's saw-wort
Scorzonera laciniata, mediterranean serpent-root
Senecio amplectens, clasping groundsel
Senecio canus, woolly groundsel
Senecio congestus, marsh ragwort
Senecio conterminus, northwestern groundsel
Senecio crassulus, thick-leaf groundsel
Senecio cymbalarioides, cleft-leaf groundsel
Senecio debilis, weak groundsel
Senecio dimorphophyllus, two-leaf ragwort
Senecio dimorphophyllus var. dimorphophyllus, twoleaf ragwort
Senecio dimorphophyllus var. paysonii, Payson's groundsel
Senecio elmeri, Elmer's ragwort
Senecio eremophilus, desert groundsel
Senecio fremontii, Fremont's ragwort
Senecio fuscatus, twice-hairy butterweed
Senecio hydrophiloides, sweet marsh ragwort
Senecio hydrophilus, alkali-marsh ragwort
Senecio indecorus, elegant groundsel
Senecio integerrimus, entire-leaf ragwort
Senecio integerrimus var. exaltatus, Columbia ragwort
Senecio integerrimus var. integerrimus, lambstongue ragwort
Senecio integerrimus var. scribneri, Scribner's ragwort
Senecio jacobaea, tansy ragwort
Senecio lugens, black-tip groundsel
Senecio megacephalus, large-headed ragwort
Senecio pauciflorus, few-flowered butterweed
Senecio pauperculus, balsam ragwort
Senecio plattensis, prairie ragwort
Senecio pseudaureus, western golden groundsel
Senecio serra, tall groundsel
Senecio sphaerocephalus, rough-head groundsel
Senecio streptanthifolius, Rocky Mountain groundsel
Senecio triangularis, arrow-leaf groundsel
Senecio vulgaris, common groundsel
Senecio werneriifolius, rock groundsel
Solidago canadensis, Canada goldenrod
Solidago canadensis var. gilvocanescens, Great Plains goldenrod
Solidago canadensis var. salebrosa, rough Canada goldenrod
Solidago gigantea, giant goldenrod
Solidago missouriensis, Missouri goldenrod
Solidago mollis, velvety goldenrod
Solidago multiradiata, Rocky Mountain goldenrod
Solidago nana, baby goldenrod
Solidago nemoralis, field goldenrod
Solidago ptarmicoides, prairie goldenrod
Solidago rigida, stiff goldenrod
Solidago simplex, sticky goldenrod
Solidago velutina, three-nerved goldenrod
Sonchus arvensis, field sowthistle
Sonchus arvensis subsp. arvensis, field sowthistle
Sonchus arvensis subsp. uliginosus, field sowthistle
Sonchus asper, spiny-leaf sowthistle
Sonchus oleraceus, common sowthistle
Sphaeromeria argentea, chicken-sage
Sphaeromeria capitata, rock-tansy
Stenotus acaulis, stemless mock goldenweed
Stenotus armerioides, thrift mock goldenweed
Stenotus lanuginosus, woolly goldenweed
Stenotus lanuginosus var. andersonii, woolly goldenweed
Stenotus multicaulis, many-stem goldenweed
Stephanomeria runcinata, desert wirelettuce
Stephanomeria tenuifolia, narrowleaf wirelettuce
Symphyotrichum ascendens, western aster
Symphyotrichum boreale, boreal aster
Symphyotrichum campestre, western meadow aster
Symphyotrichum ciliatum, rayless alkali aster
Symphyotrichum ciliolatum, fringed blue aster
Symphyotrichum cusickii, Cusick's aster
Symphyotrichum eatonii, Eaton's aster
Symphyotrichum ericoides, white heath aster
Symphyotrichum falcatum, white prairie aster
Symphyotrichum foliaceum, leafy-bracted aster
Symphyotrichum foliaceum var. apricum, alpine leafy-bract aster
Symphyotrichum foliaceum var. foliaceum, leafy-bract aster
Symphyotrichum foliaceum var. parryi, Parry's aster
Symphyotrichum hendersonii, henderson's aster
Symphyotrichum laeve, smooth blue aster
Symphyotrichum lanceolatum, white panicle aster
Symphyotrichum molle, soft aster
Symphyotrichum oblongifolium, aromatic aster
Symphyotrichum spathulatum, western mountain aster
Symphyotrichum subspicatum, Douglas's aster
Symphyotrichum welshii, Welsh's aster
Tanacetum balsamita, coastmary
Tanacetum parthenium, feverfew
Tanacetum vulgare, common tansy
Taraxacum ceratophorum, Rocky Mountain dandelion
Taraxacum erythrospermum, redseed dandelion
Taraxacum lyratum, alpine dandelion
Taraxacum officinale, common dandelion
Tetradymia canescens, gray horsebrush
Tetradymia spinosa, short-spine horsebrush
Thelesperma megapotamicum, hopi-tea
Thelesperma subnudum, border goldthread
Tonestus aberrans, Idaho goldenweed
Tonestus lyallii, Lyall's goldenweed
Tonestus pygmaeus, pygmy goldenweed
Townsendia condensata, cushion townsend-daisy
Townsendia exscapa, silky townsend-daisy
Townsendia florifera, showy townsend-daisy
Townsendia hookeri, Hooker's townsend-daisy
Townsendia incana, hoary townsend-daisy
Townsendia leptotes, slender townsend-daisy
Townsendia montana, Wyoming townsend-daisy
Townsendia parryi, Parry's townsend-daisy
Townsendia spathulata, sword townsend-daisy
Tragopogon dubius, meadow goat's-beard
Tragopogon porrifolius, purple goat's-beard
Tragopogon pratensis, meadow goat's-beard
Triniteurybia aberrans
Verbesina encelioides, golden crownbeard
Vernonia fasciculata subsp. corymbosa, fascicled ironweed
Viguiera multiflora, many-flowered viguiera
Wyethia amplexicaulis, northern mule's-ears
Wyethia helianthoides, white-head mule's-ears
Wyethia scabra, rough mule's ears
Xanthium spinosum, spiny cocklebur
Xanthium strumarium, rough cocklebur
Xylorhiza glabriuscula, woody aster
